sum_left,sum_right,n1,n2,n3,n4,n5
15,5,1,2,3,4,5
11,9,1,2,3,5,4
12,5,1,2,4,3,5
12,8,1,2,4,5,3
8,9,1,2,5,3,4
8,12,1,2,5,4,3
13,5,1,3,2,4,5
9,9,1,3,2,5,4
13,5,1,3,4,2,5
13,7,1,3,4,5,2
9,9,1,3,5,2,4
9,11,1,3,5,4,2
10,5,1,4,2,3,5
10,8,1,4,2,5,3
10,5,1,4,3,2,5
10,7,1,4,3,5,2
10,8,1,4,5,2,3
10,10,1,4,5,3,2
6,9,1,5,2,3,4
6,12,1,5,2,4,3
6,9,1,5,3,2,4
6,11,1,5,3,4,2
6,12,1,5,4,2,3
6,14,1,5,4,3,2
14,5,2,1,3,4,5
10,9,2,1,3,5,4
11,5,2,1,4,3,5
11,8,2,1,4,5,3
7,9,2,1,5,3,4
7,12,2,1,5,4,3
14,5,2,3,1,4,5
10,9,2,3,1,5,4
14,5,2,3,4,1,5
14,6,2,3,4,5,1
10,9,2,3,5,1,4
10,10,2,3,5,4,1
11,5,2,4,1,3,5
11,8,2,4,1,5,3
11,5,2,4,3,1,5
11,6,2,4,3,5,1
11,8,2,4,5,1,3
11,9,2,4,5,3,1
7,9,2,5,1,3,4
7,12,2,5,1,4,3
7,9,2,5,3,1,4
7,10,2,5,3,4,1
7,12,2,5,4,1,3
7,13,2,5,4,3,1
12,5,3,1,2,4,5
8,9,3,1,2,5,4
12,5,3,1,4,2,5
12,7,3,1,4,5,2
8,9,3,1,5,2,4
8,11,3,1,5,4,2
12,5,3,2,1,4,5
8,9,3,2,1,5,4
12,5,3,2,4,1,5
12,6,3,2,4,5,1
8,9,3,2,5,1,4
8,10,3,2,5,4,1
12,5,3,4,1,2,5
12,7,3,4,1,5,2
12,5,3,4,2,1,5
12,6,3,4,2,5,1
12,7,3,4,5,1,2
12,8,3,4,5,2,1
8,9,3,5,1,2,4
8,11,3,5,1,4,2
8,9,3,5,2,1,4
8,10,3,5,2,4,1
8,11,3,5,4,1,2
8,12,3,5,4,2,1
9,5,4,1,2,3,5
9,8,4,1,2,5,3
9,5,4,1,3,2,5
9,7,4,1,3,5,2
9,8,4,1,5,2,3
9,10,4,1,5,3,2
9,5,4,2,1,3,5
9,8,4,2,1,5,3
9,5,4,2,3,1,5
9,6,4,2,3,5,1
9,8,4,2,5,1,3
9,9,4,2,5,3,1
9,5,4,3,1,2,5
9,7,4,3,1,5,2
9,5,4,3,2,1,5
9,6,4,3,2,5,1
9,7,4,3,5,1,2
9,8,4,3,5,2,1
9,8,4,5,1,2,3
9,10,4,5,1,3,2
9,8,4,5,2,1,3
9,9,4,5,2,3,1
9,10,4,5,3,1,2
9,11,4,5,3,2,1
5,9,5,1,2,3,4
5,12,5,1,2,4,3
5,9,5,1,3,2,4
5,11,5,1,3,4,2
5,12,5,1,4,2,3
5,14,5,1,4,3,2
5,9,5,2,1,3,4
5,12,5,2,1,4,3
5,9,5,2,3,1,4
5,10,5,2,3,4,1
5,12,5,2,4,1,3
5,13,5,2,4,3,1
5,9,5,3,1,2,4
5,11,5,3,1,4,2
5,9,5,3,2,1,4
5,10,5,3,2,4,1
5,11,5,3,4,1,2
5,12,5,3,4,2,1
5,12,5,4,1,2,3
5,14,5,4,1,3,2
5,12,5,4,2,1,3
5,13,5,4,2,3,1
5,14,5,4,3,1,2
5,15,5,4,3,2,1
